sku,retail_price,item_title,inserted_at,store_code,availability
WF365-00150,0.0,"365 by Whole Foods Market Organic Wild Blueberries, 32 oz",2024-12-13 23:04:45,365WF,1
WF365-00151,0.0,"365 by Whole Foods Market Packaged Chopped Salad Kit, Sweet Kale",2024-12-13 23:04:45,365WF,1
WF365-00152,0.0,"365 by Whole Foods Market Butter, Unsalted 4 Quarters, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00153,0.0,365 by Whole Foods Market 365 Classic Caesar Salad Kit,2024-12-13 23:04:45,365WF,1
WF365-00154,0.0,"365 by Whole Foods Market Walnut Halves And Pieces, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00155,0.0,"365 by Whole Foods Market Feta Cheese, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00156,0.0,365 Everyday Value® Organic Unsweetened Vanilla Almondmilk (64 Fl Oz),2024-12-13 23:04:45,365WF,1
WF365-00157,0.0,"365 by Whole Foods Market Organic Black Chia Seed, 15 oz",2024-12-13 23:04:45,365WF,1
WF365-00158,0.0,365 by Whole Foods Market Organic Bagged Hass Avocados,2024-12-13 23:04:45,365WF,1
WF365-00159,0.0,"365 by Whole Foods Market Pecan Halves, 12 oz",2024-12-13 23:04:45,365WF,1
WF365-00160,0.0,"365 by Whole Foods Market Organic Produce - Packaged Vegetables, Garlic - Peeled",2024-12-13 23:04:45,365WF,1
WF365-00161,0.0,"365 by Whole Foods Market Trimmed Green Beans, 12 oz",2024-12-13 23:04:45,365WF,1
WF365-00162,0.0,365 by Whole Foods Market Sliced Baby Bella Mushrooms,2024-12-13 23:04:45,365WF,1
WF365-00163,0.0,"365 by Whole Foods Market Produce - Organic Packaged Chopped Salad Kit, Asian Inspired",2024-12-13 23:04:45,365WF,1
WF365-00164,0.0,365 by Whole Foods Market Mozzarella String Cheese,2024-12-13 23:04:45,365WF,1
WF365-00165,0.0,"365 by Whole Foods Market Organic Creamy Unsalted Unsweetened Almond Butter, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00166,0.0,"365 by Whole Foods Market Shredded Mild Cheddar & Monterey Jack Cheese, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00167,0.0,365 by Whole Foods Market Sliced Baby Bella Mushrooms,2024-12-13 23:04:45,365WF,1
WF365-00168,0.0,"365 by Whole Foods Market Organic Tortillas, Flour - Burrito Size (6 Tortillas), 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00169,0.0,365 by Whole Foods Market Organic Boneless Skinless Chicken Thighs,2024-12-13 23:04:45,365WF,1
WF365-00170,0.0,"365 by Whole Foods Market Swiss Cheese Slices, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00171,0.0,"365 by Whole Foods Market Organic Ice Cream Sandwiches, 21.9 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00172,0.0,365 by Whole Foods Market Tilapia Fillet,2024-12-13 23:04:45,365WF,1
WF365-00173,0.0,"365 by Whole Foods Market Salted Restaurant Style Tortilla Chips, 14 oz",2024-12-13 23:04:45,365WF,1
WF365-00174,0.0,"365 by Whole Foods Market Butter, Salted 4 Quarters, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00175,0.0,"365 by Whole Foods Market Organic Raw Cashews, 10 oz",2024-12-13 23:04:45,365WF,1
WF365-00176,0.0,"365 by Whole Foods Market Frozen Organic Fruit, Wild Blueberries",2024-12-13 23:04:45,365WF,1
WF365-00177,0.0,"365 by Whole Foods Market Organic Heavy Cream, 1 pint",2024-12-13 23:04:45,365WF,1
WF365-00178,0.0,"365 by Whole Foods Market Organic Salted Butter, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00179,0.0,365 by Whole Foods Market Reduced Sodium Smokehouse Bacon,2024-12-13 23:04:45,365WF,1
WF365-00180,0.0,"365 by Whole Foods Market Organic 100% Orange Juice No Pulp (Not From Concentrate), 59 oz",2024-12-13 23:04:45,365WF,1
WF365-00181,0.0,"365 by Whole Foods Market Frozen Wild-Caught Seafood Value Pack, Sockeye Salmon Fillets",2024-12-13 23:04:45,365WF,1
WF365-00182,0.0,365 by Whole Foods Market Organic Boneless And Skinless Chicken Breasts,2024-12-13 23:04:45,365WF,1
WF365-00183,0.0,365 by Whole Foods Market Organic Boneless Skinless Chicken Breast Value Pack,2024-12-13 23:04:45,365WF,1
WF365-00184,0.0,365 by Whole Foods Market Wild-Caught Cod Fillets,2024-12-13 23:04:45,365WF,1
WF365-00185,0.0,"365 by Whole Foods Market Organic Broccoli Florets, 32 oz",2024-12-13 23:04:45,365WF,1
WF365-00186,0.0,365 by Whole Foods Market Organic Boneless Skinless Chicken Thighs,2024-12-13 23:04:45,365WF,1
WF365-00187,0.0,"365 by Whole Foods Market Frozen Organic Fruit, Blueberries",2024-12-13 23:04:45,365WF,1
WF365-00188,0.0,"365 by Whole Foods Market Organic Packaged Vegetables, Green Beans - Trimmed, 12 oz",2024-12-13 23:04:45,365WF,1
WF365-00189,0.0,"365 by Whole Foods Market Crumbled Feta Cheese, 6 oz",2024-12-13 23:04:45,365WF,1
WF365-00190,0.0,"365 by Whole Foods Market Extra Virgin Olive Oil - Cold Processed, Mediterranean Blend, 33.8 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00191,0.0,"365 by Whole Foods Market Organic Berry Blend, 32 oz",2024-12-13 23:04:45,365WF,1
WF365-00192,0.0,365 by Whole Foods Market Organic Spring Mix,2024-12-13 23:04:45,365WF,1
WF365-00193,0.0,"365 by Whole Foods Market Organic Packaged Chopped Salad Kit, Kale Caesar",2024-12-13 23:04:45,365WF,1
WF365-00194,0.0,"365 by Whole Foods Market Grated Parmesan Cheese, 5 oz",2024-12-13 23:04:45,365WF,1
WF365-00195,0.0,365 by Whole Foods Market Uncured Center Cut Smokehouse Bacon,2024-12-13 23:04:45,365WF,1
WF365-00196,0.0,365 by Whole Foods Market Part-skim Shredded Mozzarella Cheese,2024-12-13 23:04:45,365WF,1
WF365-00197,0.0,"365 by Whole Foods Market Shredded Parmesan Cheese, 5 oz",2024-12-13 23:04:45,365WF,1
WF365-00198,0.0,"365 by Whole Foods Market Organic Dried Mango, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00199,0.0,"365 by Whole Foods Market Frozen Organic Fruit, Strawberries - Whole",2024-12-13 23:04:45,365WF,1
WF365-00200,0.0,"365 by Whole Foods Market Produce - Packaged Vegetables, Broccoli - Florets",2024-12-13 23:04:45,365WF,1
WF365-00201,0.0,"365 by Whole Foods Market Organic Walnut Halves & Pieces, 10 oz",2024-12-13 23:04:45,365WF,1
WF365-00202,0.0,"365 by Whole Foods Market Organic Extra Virgin Olive Oil - Cold Processed, Mediterranean, 33.8 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00203,0.0,"365 by Whole Foods Market Organic Packaged Vegetables, Sugar Snap Peas, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00204,0.0,365 by Whole Foods Market Organic Honeycrisp Apple Bag,2024-12-13 23:04:45,365WF,1
WF365-00205,0.0,365 by Whole Foods Market Organic Carrots (5 Pound),2024-12-13 23:04:45,365WF,1
WF365-00206,0.0,"365 by Whole Foods Market Shredded Mexican Blend, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00207,0.0,"365 by Whole Foods Market Coconut Water, 33.8 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00208,0.0,"365 by Whole Foods Market Organic Unsalted Butter, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00209,0.0,"365 by Whole Foods Market Organic Cheese Shreds, Mozzarella",2024-12-13 23:04:45,365WF,1
WF365-00210,0.0,"365 by Whole Foods Market Organic Wild Blueberries, 32 oz",2024-12-13 23:04:45,365WF,1
WF365-00211,0.0,"365 by Whole Foods Market Packaged Chopped Salad Kit, Sweet Kale",2024-12-13 23:04:45,365WF,1
WF365-00212,0.0,"365 by Whole Foods Market Butter, Unsalted 4 Quarters, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00213,0.0,365 by Whole Foods Market 365 Classic Caesar Salad Kit,2024-12-13 23:04:45,365WF,1
WF365-00214,0.0,"365 by Whole Foods Market Walnut Halves And Pieces, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00215,0.0,"365 by Whole Foods Market Feta Cheese, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00216,0.0,365 Everyday Value® Organic Unsweetened Vanilla Almondmilk (64 Fl Oz),2024-12-13 23:04:45,365WF,1
WF365-00217,0.0,"365 by Whole Foods Market Organic Black Chia Seed, 15 oz",2024-12-13 23:04:45,365WF,1
WF365-00218,0.0,365 by Whole Foods Market Organic Bagged Hass Avocados,2024-12-13 23:04:45,365WF,1
WF365-00219,0.0,"365 by Whole Foods Market Pecan Halves, 12 oz",2024-12-13 23:04:45,365WF,1
WF365-00220,0.0,"365 by Whole Foods Market Organic Produce - Packaged Vegetables, Garlic - Peeled",2024-12-13 23:04:45,365WF,1
WF365-00221,0.0,"365 by Whole Foods Market Trimmed Green Beans, 12 oz",2024-12-13 23:04:45,365WF,1
WF365-00222,0.0,365 by Whole Foods Market Sliced Baby Bella Mushrooms,2024-12-13 23:04:45,365WF,1
WF365-00223,0.0,"365 by Whole Foods Market Produce - Organic Packaged Chopped Salad Kit, Asian Inspired",2024-12-13 23:04:45,365WF,1
WF365-00224,0.0,365 by Whole Foods Market Mozzarella String Cheese,2024-12-13 23:04:45,365WF,1
WF365-00225,0.0,"365 by Whole Foods Market Organic Creamy Unsalted Unsweetened Almond Butter, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00226,0.0,"365 by Whole Foods Market Shredded Mild Cheddar & Monterey Jack Cheese, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00227,0.0,365 by Whole Foods Market Sliced Baby Bella Mushrooms,2024-12-13 23:04:45,365WF,1
WF365-00228,0.0,"365 by Whole Foods Market Organic Tortillas, Flour - Burrito Size (6 Tortillas), 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00229,0.0,365 by Whole Foods Market Organic Boneless Skinless Chicken Thighs,2024-12-13 23:04:45,365WF,1
WF365-00230,0.0,"365 by Whole Foods Market Swiss Cheese Slices, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00231,0.0,"365 by Whole Foods Market Organic Ice Cream Sandwiches, 21.9 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00232,0.0,365 by Whole Foods Market Tilapia Fillet,2024-12-13 23:04:45,365WF,1
WF365-00233,0.0,"365 by Whole Foods Market Salted Restaurant Style Tortilla Chips, 14 oz",2024-12-13 23:04:45,365WF,1
WF365-00234,0.0,"365 by Whole Foods Market Butter, Salted 4 Quarters, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00235,0.0,"365 by Whole Foods Market Organic Raw Cashews, 10 oz",2024-12-13 23:04:45,365WF,1
WF365-00236,0.0,"365 by Whole Foods Market Frozen Organic Fruit, Wild Blueberries",2024-12-13 23:04:45,365WF,1
WF365-00237,0.0,"365 by Whole Foods Market Organic Heavy Cream, 1 pint",2024-12-13 23:04:45,365WF,1
WF365-00238,0.0,"365 by Whole Foods Market Organic Salted Butter, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00239,0.0,365 by Whole Foods Market Reduced Sodium Smokehouse Bacon,2024-12-13 23:04:45,365WF,1
WF365-00240,0.0,"365 by Whole Foods Market Organic 100% Orange Juice No Pulp (Not From Concentrate), 59 oz",2024-12-13 23:04:45,365WF,1
WF365-00241,0.0,"365 by Whole Foods Market Frozen Wild-Caught Seafood Value Pack, Sockeye Salmon Fillets",2024-12-13 23:04:45,365WF,1
WF365-00242,0.0,365 by Whole Foods Market Organic Boneless And Skinless Chicken Breasts,2024-12-13 23:04:45,365WF,1
WF365-00243,0.0,365 by Whole Foods Market Organic Boneless Skinless Chicken Breast Value Pack,2024-12-13 23:04:45,365WF,1
WF365-00244,0.0,365 by Whole Foods Market Wild-Caught Cod Fillets,2024-12-13 23:04:45,365WF,1
WF365-00245,0.0,"365 by Whole Foods Market Organic Broccoli Florets, 32 oz",2024-12-13 23:04:45,365WF,1
WF365-00246,0.0,365 by Whole Foods Market Organic Boneless Skinless Chicken Thighs,2024-12-13 23:04:45,365WF,1
WF365-00247,0.0,"365 by Whole Foods Market Frozen Organic Fruit, Blueberries",2024-12-13 23:04:45,365WF,1
WF365-00248,0.0,"365 by Whole Foods Market Organic Packaged Vegetables, Green Beans - Trimmed, 12 oz",2024-12-13 23:04:45,365WF,1
WF365-00249,0.0,"365 by Whole Foods Market Crumbled Feta Cheese, 6 oz",2024-12-13 23:04:45,365WF,1
WF365-00250,0.0,"365 by Whole Foods Market Extra Virgin Olive Oil - Cold Processed, Mediterranean Blend, 33.8 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00251,0.0,"365 by Whole Foods Market Organic Berry Blend, 32 oz",2024-12-13 23:04:45,365WF,1
WF365-00252,0.0,365 by Whole Foods Market Organic Spring Mix,2024-12-13 23:04:45,365WF,1
WF365-00253,0.0,"365 by Whole Foods Market Organic Packaged Chopped Salad Kit, Kale Caesar",2024-12-13 23:04:45,365WF,1
WF365-00254,0.0,"365 by Whole Foods Market Grated Parmesan Cheese, 5 oz",2024-12-13 23:04:45,365WF,1
WF365-00255,0.0,365 by Whole Foods Market Uncured Center Cut Smokehouse Bacon,2024-12-13 23:04:45,365WF,1
WF365-00256,0.0,365 by Whole Foods Market Part-skim Shredded Mozzarella Cheese,2024-12-13 23:04:45,365WF,1
WF365-00257,0.0,"365 by Whole Foods Market Shredded Parmesan Cheese, 5 oz",2024-12-13 23:04:45,365WF,1
WF365-00258,0.0,"365 by Whole Foods Market Organic Dried Mango, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00259,0.0,"365 by Whole Foods Market Frozen Organic Fruit, Strawberries - Whole",2024-12-13 23:04:45,365WF,1
WF365-00260,0.0,"365 by Whole Foods Market Produce - Packaged Vegetables, Broccoli - Florets",2024-12-13 23:04:45,365WF,1
WF365-00261,0.0,"365 by Whole Foods Market Organic Walnut Halves & Pieces, 10 oz",2024-12-13 23:04:45,365WF,1
WF365-00262,0.0,"365 by Whole Foods Market Organic Extra Virgin Olive Oil - Cold Processed, Mediterranean, 33.8 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00263,0.0,"365 by Whole Foods Market Organic Packaged Vegetables, Sugar Snap Peas, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00264,0.0,365 by Whole Foods Market Organic Honeycrisp Apple Bag,2024-12-13 23:04:45,365WF,1
WF365-00265,0.0,365 by Whole Foods Market Organic Carrots (5 Pound),2024-12-13 23:04:45,365WF,1
WF365-00266,0.0,"365 by Whole Foods Market Shredded Mexican Blend, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00267,0.0,"365 by Whole Foods Market Coconut Water, 33.8 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00268,0.0,"365 by Whole Foods Market Organic Unsalted Butter, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00269,0.0,"365 by Whole Foods Market Organic Cheese Shreds, Mozzarella",2024-12-13 23:04:45,365WF,1
WF365-00270,0.0,"365 by Whole Foods Market Organic Wild Blueberries, 32 oz",2024-12-13 23:04:45,365WF,1
WF365-00271,0.0,"365 by Whole Foods Market Packaged Chopped Salad Kit, Sweet Kale",2024-12-13 23:04:45,365WF,1
WF365-00272,0.0,"365 by Whole Foods Market Butter, Unsalted 4 Quarters, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00273,0.0,365 by Whole Foods Market 365 Classic Caesar Salad Kit,2024-12-13 23:04:45,365WF,1
WF365-00274,0.0,"365 by Whole Foods Market Walnut Halves And Pieces, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00275,0.0,"365 by Whole Foods Market Feta Cheese, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00276,0.0,365 Everyday Value® Organic Unsweetened Vanilla Almondmilk (64 Fl Oz),2024-12-13 23:04:45,365WF,1
WF365-00277,0.0,"365 by Whole Foods Market Organic Black Chia Seed, 15 oz",2024-12-13 23:04:45,365WF,1
WF365-00278,0.0,365 by Whole Foods Market Organic Bagged Hass Avocados,2024-12-13 23:04:45,365WF,1
WF365-00279,0.0,"365 by Whole Foods Market Pecan Halves, 12 oz",2024-12-13 23:04:45,365WF,1
WF365-00280,0.0,"365 by Whole Foods Market Organic Produce - Packaged Vegetables, Garlic - Peeled",2024-12-13 23:04:45,365WF,1
WF365-00281,0.0,"365 by Whole Foods Market Trimmed Green Beans, 12 oz",2024-12-13 23:04:45,365WF,1
WF365-00282,0.0,365 by Whole Foods Market Sliced Baby Bella Mushrooms,2024-12-13 23:04:45,365WF,1
WF365-00283,0.0,"365 by Whole Foods Market Produce - Organic Packaged Chopped Salad Kit, Asian Inspired",2024-12-13 23:04:45,365WF,1
WF365-00284,0.0,365 by Whole Foods Market Mozzarella String Cheese,2024-12-13 23:04:45,365WF,1
WF365-00285,0.0,"365 by Whole Foods Market Organic Creamy Unsalted Unsweetened Almond Butter, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00286,0.0,"365 by Whole Foods Market Shredded Mild Cheddar & Monterey Jack Cheese, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00287,0.0,365 by Whole Foods Market Sliced Baby Bella Mushrooms,2024-12-13 23:04:45,365WF,1
WF365-00288,0.0,"365 by Whole Foods Market Organic Tortillas, Flour - Burrito Size (6 Tortillas), 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00289,0.0,365 by Whole Foods Market Organic Boneless Skinless Chicken Thighs,2024-12-13 23:04:45,365WF,1
WF365-00290,0.0,"365 by Whole Foods Market Swiss Cheese Slices, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00291,0.0,"365 by Whole Foods Market Organic Ice Cream Sandwiches, 21.9 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00292,0.0,365 by Whole Foods Market Tilapia Fillet,2024-12-13 23:04:45,365WF,1
WF365-00293,0.0,"365 by Whole Foods Market Salted Restaurant Style Tortilla Chips, 14 oz",2024-12-13 23:04:45,365WF,1
WF365-00294,0.0,"365 by Whole Foods Market Butter, Salted 4 Quarters, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00295,0.0,"365 by Whole Foods Market Organic Raw Cashews, 10 oz",2024-12-13 23:04:45,365WF,1
WF365-00296,0.0,"365 by Whole Foods Market Frozen Organic Fruit, Wild Blueberries",2024-12-13 23:04:45,365WF,1
WF365-00297,0.0,"365 by Whole Foods Market Organic Heavy Cream, 1 pint",2024-12-13 23:04:45,365WF,1
WF365-00298,0.0,"365 by Whole Foods Market Organic Salted Butter, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00299,0.0,365 by Whole Foods Market Reduced Sodium Smokehouse Bacon,2024-12-13 23:04:45,365WF,1
WF365-00300,0.0,"365 by Whole Foods Market Organic 100% Orange Juice No Pulp (Not From Concentrate), 59 oz",2024-12-13 23:04:45,365WF,1
